t;alpha;omega
4.95; 3.24665; -0.0794872
4.95; 3.24662; -0.0792081
5; 3.24268; -0.0795882
5; 3.24267; -0.0795751
5.05; 3.23869; -0.0796754
5.05; 3.23868; -0.0794332
5.1; 3.23472; -0.0793269
5.1; 3.23471; -0.0793146
5.15; 3.23075; -0.0789653
5.15; 3.23077; -0.0787575
5.2; 3.22684; -0.0782336
5.2; 3.22683; -0.0782222
5.25; 3.22292; -0.0774897
5.25; 3.22296; -0.0773138
5.3; 3.2191; -0.0764361
5.3; 3.21909; -0.0764254
5.35; 3.21527; -0.075371
5.35; 3.21532; -0.0752245
5.4; 3.21157; -0.0740517
5.4; 3.21156; -0.0740419
5.45; 3.20786; -0.0727219
5.45; 3.20793; -0.0726023
5.5; 3.2043; -0.0711883
5.5; 3.2043; -0.0711794
5.55; 3.20074; -0.069645
5.55; 3.20082; -0.0695499
5.6; 3.19734; -0.0679438
5.6; 3.19734; -0.0679356
5.65; 3.19394; -0.0662336
5.65; 3.19403; -0.0661606
5.7; 3.19073; -0.0644066
5.7; 3.19072; -0.0643993
5.75; 3.1875; -0.0625715
5.75; 3.18759; -0.0625184
5.8; 3.18447; -0.0606562
5.8; 3.18447; -0.0606496
5.85; 3.18144; -0.0587336
5.85; 3.18153; -0.0586981
5.9; 3.1786; -0.0567632
5.9; 3.1786; -0.0567574
5.95; 3.17576; -0.0547863
5.95; 3.17586; -0.0547664
6; 3.17312; -0.0527901
6; 3.17312; -0.052785
6.05; 3.17048; -0.0507881
6.05; 3.17058; -0.0507819
6.1; 3.16804; -0.0487916
6.1; 3.16804; -0.048787
6.15; 3.1656; -0.0467898
6.15; 3.1657; -0.0467954
6.2; 3.16336; -0.0448148
6.2; 3.16336; -0.0448108
6.25; 3.16112; -0.0428352
6.25; 3.16122; -0.0428509
6.3; 3.15908; -0.0409003
6.3; 3.15908; -0.0408969
6.35; 3.15703; -0.0389615
6.35; 3.15713; -0.0389857
6.4; 3.15518; -0.0370823
6.4; 3.15518; -0.0370795
6.45; 3.15332; -0.0351998
6.45; 3.15342; -0.0352312
6.5; 3.15166; -0.0333892
6.5; 3.15166; -0.0333869
6.55; 3.14999; -0.0315758
6.55; 3.15008; -0.0316129
6.6; 3.1485; -0.029844
6.6; 3.1485; -0.0298421
6.65; 3.147; -0.02811
6.65; 3.14709; -0.0281516
6.7; 3.14568; -0.026465
6.7; 3.14568; -0.0264635
6.75; 3.14436; -0.0248182
6.75; 3.14444; -0.0248633
6.8; 3.1432; -0.0232661
6.8; 3.1432; -0.0232649
6.85; 3.14203; -0.0217125
6.85; 3.14211; -0.02176
6.9; 3.14102; -0.0202572
6.9; 3.14102; -0.0202563
6.95; 3.14001; -0.0188008
6.95; 3.14008; -0.01885
7; 3.13914; -0.0174448
7; 3.13914; -0.0174443
7.05; 3.13827; -0.0160881
7.05; 3.13834; -0.0161381
7.1; 3.13753; -0.0148325
7.1; 3.13753; -0.0148322
7.15; 3.13679; -0.0135764
7.15; 3.13685; -0.0136266
7.2; 3.13617; -0.0124209
7.2; 3.13617; -0.0124209
7.25; 3.13555; -0.0112652
7.25; 3.1356; -0.0113151
7.3; 3.13504; -0.0102087
7.3; 3.13504; -0.0102088
7.35; 3.13453; -0.00915206
7.35; 3.13458; -0.00920104
7.4; 3.13412; -0.00819219
7.4; 3.13412; -0.00819249
7.45; 3.13371; -0.00723249
7.45; 3.13376; -0.00728017
7.5; 3.13339; -0.00636638
7.5; 3.13339; -0.00636681
7.55; 3.13307; -0.00550059
7.55; 3.13312; -0.00554664
7.6; 3.13284; -0.00472469
7.6; 3.13284; -0.00472524
7.65; 3.1326; -0.00394925
7.65; 3.13264; -0.00399338
7.7; 3.13244; -0.0032595
7.7; 3.13244; -0.00326014
7.75; 3.13228; -0.00257033
7.75; 3.13231; -0.00261234
7.8; 3.13218; -0.00196232
7.8; 3.13218; -0.00196303
7.85; 3.13208; -0.00135497
7.85; 3.13211; -0.00139469
7.9; 3.13204; -0.000823985
7.9; 3.13204; -0.000824752
7.95; 3.132; -0.000293731
7.95; 3.13203; -0.000331039
8; 3.13201; 0.000165126
8; 3.13201; 0.000164321
8.05; 3.13202; 0.000623199
8.05; 3.13204; 0.000588373
8.1; 3.13207; 0.00101493
8.1; 3.13207; 0.0010141
8.15; 3.13212; 0.00140584
8.15; 3.13214; 0.00137353
8.2; 3.13221; 0.00173549
8.2; 3.13221; 0.00173465
8.25; 3.1323; 0.0020643
8.25; 3.13231; 0.00203451
8.3; 3.13241; 0.00233689
8.3; 3.13241; 0.00233605
8.35; 3.13253; 0.00260863
8.35; 3.13255; 0.00258134
8.4; 3.13267; 0.00282911
8.4; 3.13267; 0.00282828
8.45; 3.13282; 0.00304874
8.45; 3.13283; 0.0030239
8.5; 3.13298; 0.00322194
8.5; 3.13298; 0.00322112
8.55; 3.13314; 0.0033943
8.55; 3.13315; 0.00337184
8.6; 3.13331; 0.00352489
8.6; 3.13331; 0.0035241
8.65; 3.13349; 0.00365467
8.65; 3.1335; 0.0036345
8.7; 3.13368; 0.00374715
8.7; 3.13368; 0.00374639
8.75; 3.13387; 0.00383884
8.75; 3.13387; 0.00382087
8.8; 3.13406; 0.0038975
8.8; 3.13406; 0.00389677
8.85; 3.13426; 0.00395539
8.85; 3.13426; 0.00393951
8.9; 3.13446; 0.00398429
8.9; 3.13446; 0.00398359
8.95; 3.13466; 0.00401245
8.95; 3.13466; 0.00399854
9; 3.13486; 0.0040154
9; 3.13486; 0.00401474
9.05; 3.13506; 0.00401765
9.05; 3.13506; 0.0040056
9.1; 3.13526; 0.00399824
9.1; 3.13526; 0.00399762
9.15; 3.13546; 0.00397816
9.15; 3.13546; 0.00396783
9.2; 3.13565; 0.0039397
9.2; 3.13565; 0.00393913
9.25; 3.13585; 0.00390062
9.25; 3.13585; 0.00389188
9.3; 3.13604; 0.00384618
9.3; 3.13604; 0.00384565
9.35; 3.13624; 0.00379116
9.35; 3.13623; 0.0037839
9.4; 3.13642; 0.00372356
9.4; 3.13642; 0.00372307
9.45; 3.13661; 0.00365542
9.45; 3.13661; 0.00364951
9.5; 3.13679; 0.00357723
9.5; 3.13679; 0.00357678
9.55; 3.13697; 0.00349854
9.55; 3.13696; 0.00349385
9.6; 3.13714; 0.00341209
9.6; 3.13714; 0.00341168
9.65; 3.13731; 0.00332518
9.65; 3.1373; 0.00332159
9.7; 3.13747; 0.00323255
9.7; 3.13747; 0.00323219
9.75; 3.13763; 0.00313952
9.75; 3.13763; 0.00313692
9.8; 3.13778; 0.0030426
9.8; 3.13778; 0.00304227
9.85; 3.13794; 0.00294531
9.85; 3.13793; 0.00294359
9.9; 3.13808; 0.00284575
9.9; 3.13808; 0.00284545
9.95; 3.13822; 0.00274586
9.95; 3.13822; 0.00274492
10; 3.13835; 0.00264511
10; 3.13835; 0.00264485
10.05; 3.13849; 0.00254407
10.05; 3.13848; 0.00254382
10.1; 3.13861; 0.00244341
10.1; 3.13861; 0.00244319
10.15; 3.13873; 0.0023425
10.15; 3.13872; 0.00234283
10.2; 3.13884; 0.00224301
10.2; 3.13884; 0.00224282
10.25; 3.13895; 0.0021433
10.25; 3.13895; 0.00214414
10.3; 3.13906; 0.00204592
10.3; 3.13906; 0.00204575
10.35; 3.13916; 0.00194834
10.35; 3.13915; 0.0019496
10.4; 3.13925; 0.00185383
10.4; 3.13925; 0.00185369
10.45; 3.13934; 0.00175915
10.45; 3.13934; 0.00176076
10.5; 3.13943; 0.00166815
10.5; 3.13943; 0.00166804
10.55; 3.13951; 0.00157701
10.55; 3.13951; 0.00157891
10.6; 3.13958; 0.00149003
10.6; 3.13958; 0.00148993
10.65; 3.13966; 0.00140293
10.65; 3.13965; 0.00140505
10.7; 3.13973; 0.00132036
10.7; 3.13973; 0.00132028
10.75; 3.13979; 0.00123769
10.75; 3.13979; 0.00123998
10.8; 3.13985; 0.00115982
10.8; 3.13985; 0.00115976
10.85; 3.13991; 0.00108188
10.85; 3.1399; 0.00108429
10.9; 3.13996; 0.00100891
10.9; 3.13996; 0.00100887
10.95; 3.14001; 0.00093588
10.95; 3.14; 0.000938367
11; 3.14005; 0.000867927
11; 3.14005; 0.000867901
11.05; 3.14009; 0.000799936
11.05; 3.14009; 0.000802462
11.1; 3.14013; 0.000737046
11.1; 3.14013; 0.000737033
11.15; 3.14017; 0.000674133
11.15; 3.14016; 0.000676667
11.2; 3.1402; 0.000616293
11.2; 3.1402; 0.000616291
11.25; 3.14023; 0.000558441
11.25; 3.14023; 0.000560953
11.3; 3.14025; 0.00050558
11.3; 3.14025; 0.000505587
11.35; 3.14028; 0.000452718
11.35; 3.14028; 0.000455184
11.4; 3.1403; 0.000404723
11.4; 3.1403; 0.000404739
11.45; 3.14032; 0.000356738
11.45; 3.14032; 0.000359136
11.5; 3.14034; 0.000313458
11.5; 3.14034; 0.00031348
11.55; 3.14035; 0.000270195
11.55; 3.14035; 0.00027251
11.6; 3.14036; 0.000231448
11.6; 3.14036; 0.000231476
11.65; 3.14037; 0.000192725
11.65; 3.14037; 0.000194943
11.7; 3.14038; 0.000158306
11.7; 3.14038; 0.000158338
11.75; 3.14039; 0.000123915
11.75; 3.14039; 0.000126025
11.8; 3.1404; 9.35981e-05
11.8; 3.1404; 9.36344e-05
11.85; 3.1404; 6.33147e-05
11.85; 3.1404; 6.53076e-05
11.9; 3.1404; 3.68614e-05
11.9; 3.1404; 3.69003e-05
11.95; 3.1404; 1.04453e-05
11.95; 3.1404; 1.23163e-05
12; 3.1404; -1.23917e-05
12; 3.1404; -1.23509e-05
12.05; 3.1404; -3.51889e-05
12.05; 3.1404; -3.34433e-05
12.1; 3.1404; -5.46623e-05
12.1; 3.1404; -5.46204e-05
12.15; 3.1404; -7.40942e-05
12.15; 3.1404; -7.24758e-05
12.2; 3.14039; -9.04585e-05
12.2; 3.14039; -9.0416e-05
12.25; 3.14039; -0.00010678
12.25; 3.14039; -0.000105289
12.3; 3.14038; -0.000120288
12.3; 3.14038; -0.000120246
12.35; 3.14038; -0.000133754
12.35; 3.14037; -0.000132388
12.4; 3.14037; -0.000144655
12.4; 3.14037; -0.000144613
12.45; 3.14036; -0.000155513
12.45; 3.14036; -0.000154271
12.5; 3.14035; -0.000164051
12.5; 3.14035; -0.00016401
12.55; 3.14034; -0.000172546
12.55; 3.14034; -0.000171424
12.6; 3.14034; -0.000178955
12.6; 3.14034; -0.000178915
12.65; 3.14033; -0.000185323
12.65; 3.14033; -0.000184315
12.7; 3.14032; -0.000189829
12.7; 3.14032; -0.00018979
12.75; 3.14031; -0.000194294
12.75; 3.14031; -0.000193398
12.8; 3.1403; -0.000197113
12.8; 3.1403; -0.000197076
12.85; 3.14029; -0.000199893
12.85; 3.14029; -0.000199101
12.9; 3.14028; -0.000201227
