t;alpha;omega
20; 3.14; -5.16844e-08
20.05; 3.14; -1.08237e-07
20.05; 3.14; -1.03852e-07
20.1; 3.14; -1.56343e-07
20.1; 3.14; -1.56236e-07
20.15; 3.14; -2.04343e-07
20.15; 3.14; -2.00282e-07
20.2; 3.14; -2.44652e-07
20.2; 3.14; -2.44544e-07
20.25; 3.14; -2.84852e-07
20.25; 3.14; -2.81114e-07
20.3; 3.14; -3.18007e-07
20.3; 3.14; -3.17899e-07
20.35; 3.14; -3.51052e-07
20.35; 3.14; -3.47633e-07
20.4; 3.14; -3.77684e-07
20.4; 3.14; -3.77577e-07
20.45; 3.14; -4.04206e-07
20.45; 3.14; -4.011e-07
20.5; 3.14; -4.24931e-07
20.5; 3.14; -4.24826e-07
20.55; 3.14; -4.45548e-07
20.55; 3.14; -4.42744e-07
20.6; 3.14; -4.60959e-07
20.6; 3.14; -4.60858e-07
20.65; 3.14; -4.76265e-07
20.65; 3.14; -4.73753e-07
20.7; 3.14; -4.86933e-07
20.7; 3.14; -4.86836e-07
20.75; 3.14; -4.975e-07
20.75; 3.14; -4.95266e-07
20.8; 3.14; -5.03967e-07
20.8; 3.14; -5.03874e-07
20.85; 3.14; -5.10337e-07
20.85; 3.14; -5.08367e-07
20.9; 3.14; -5.13117e-07
20.9; 3.14; -5.13029e-07
20.95; 3.14; -5.15804e-07
20.95; 3.14; -5.14083e-07
21; 3.14; -5.15379e-07
21; 3.14; -5.15296e-07
21.05; 3.14; -5.14865e-07
21.05; 3.14; -5.13378e-07
21.1; 3.14; -5.11685e-07
21.1; 3.14; -5.11607e-07
21.15; 3.14; -5.08421e-07
21.15; 3.14; -5.07151e-07
21.2; 3.14; -5.02904e-07
21.2; 3.14; -5.02832e-07
21.25; 3.14; -4.97309e-07
21.25; 3.14; -4.96239e-07
21.3; 3.14; -4.89839e-07
21.3; 3.14; -4.89772e-07
21.35; 3.14; -4.82298e-07
21.35; 3.14; -4.81413e-07
21.4; 3.14; -4.73229e-07
21.4; 3.14; -4.73168e-07
21.45; 3.14; -4.64094e-07
21.45; 3.14; -4.63378e-07
21.5; 3.14; -4.53749e-07
21.5; 3.14; -4.53692e-07
21.55; 3.14; -4.43342e-07
21.55; 3.14; -4.42778e-07
21.6; 3.14; -4.32009e-07
21.6; 3.14; -4.31958e-07
21.65; 3.14; -4.20621e-07
21.65; 3.14; -4.20196e-07
21.7; 3.14; -4.08564e-07
21.7; 3.14; -4.08518e-07
21.75; 3.14; -3.96456e-07
21.75; 3.14; -3.96154e-07
21.8; 3.14; -3.83906e-07
21.8; 3.14; -3.83865e-07
21.85; 3.14; -3.7131e-07
21.85; 3.14; -3.71117e-07
21.9; 3.14; -3.58473e-07
21.9; 3.14; -3.58437e-07
21.95; 3.14; -3.45596e-07
21.95; 3.14; -3.455e-07
22; 3.14; -3.32653e-07
22; 3.14; -3.3262e-07
22.05; 3.14; -3.19673e-07
22.05; 3.14; -3.19661e-07
22.1; 3.14; -3.0678e-07
22.1; 3.14; -3.06752e-07
22.15; 3.14; -2.93856e-07
22.15; 3.14; -2.93916e-07
22.2; 3.14; -2.81147e-07
22.2; 3.14; -2.81123e-07
22.25; 3.14; -2.6841e-07
22.25; 3.14; -2.68533e-07
22.3; 3.14; -2.55999e-07
22.3; 3.14; -2.55979e-07
22.35; 3.14; -2.43565e-07
22.35; 3.14; -2.43739e-07
22.4; 3.14; -2.31546e-07
22.4; 3.14; -2.31529e-07
22.45; 3.14; -2.19507e-07
22.45; 3.14; -2.19724e-07
22.5; 3.14; -2.07957e-07
22.5; 3.14; -2.07943e-07
22.55; 3.14; -1.96391e-07
22.55; 3.14; -1.96642e-07
22.6; 3.14; -1.85372e-07
22.6; 3.14; -1.8536e-07
22.65; 3.14; -1.74339e-07
22.65; 3.14; -1.74617e-07
22.7; 3.14; -1.63897e-07
22.7; 3.14; -1.63888e-07
22.75; 3.14; -1.53444e-07
22.75; 3.14; -1.53742e-07
22.8; 3.14; -1.43613e-07
22.8; 3.14; -1.43606e-07
22.85; 3.14; -1.33774e-07
22.85; 3.14; -1.34086e-07
22.9; 3.14; -1.24577e-07
22.9; 3.14; -1.24573e-07
22.95; 3.14; -1.15374e-07
22.95; 3.14; -1.15695e-07
23; 3.14; -1.06824e-07
23; 3.14; -1.06821e-07
23.05; 3.14; -9.82698e-08
23.05; 3.14; -9.85947e-08
23.1; 3.14; -9.03698e-08
23.1; 3.14; -9.03685e-08
23.15; 3.14; -8.24673e-08
23.15; 3.14; -8.27921e-08
23.2; 3.14; -7.52136e-08
23.2; 3.14; -7.52137e-08
23.25; 3.14; -6.79589e-08
23.25; 3.14; -6.82801e-08
23.3; 3.14; -6.13411e-08
23.3; 3.14; -6.13424e-08
23.35; 3.14; -5.47236e-08
23.35; 3.14; -5.5038e-08
23.4; 3.14; -4.87257e-08
23.4; 3.14; -4.87279e-08
23.45; 3.14; -4.27292e-08
23.45; 3.14; -4.30344e-08
23.5; 3.14; -3.73306e-08
23.5; 3.14; -3.73337e-08
23.55; 3.14; -3.19344e-08
23.55; 3.14; -3.22284e-08
23.6; 3.14; -2.7111e-08
23.6; 3.14; -2.71147e-08
23.65; 3.14; -2.22908e-08
23.65; 3.14; -2.25718e-08
23.7; 3.14; -1.80153e-08
23.7; 3.14; -1.80196e-08
23.75; 3.14; -1.37437e-08
23.75; 3.14; -1.40106e-08
23.8; 3.14; -9.98682e-09
23.8; 3.14; -9.99157e-09
23.85; 3.14; -6.23438e-09
23.85; 3.14; -6.48609e-09
23.9; 3.14; -2.96511e-09
23.9; 3.14; -2.97017e-09
23.95; 3.14; 2.99296e-10
23.95; 3.14; 6.33759e-11
24; 3.14; 3.11295e-09
24; 3.14; 3.10767e-09
24.05; 3.14; 5.92143e-09
24.05; 3.14; 5.70169e-09
24.1; 3.14; 8.31201e-09
24.1; 3.14; 8.3066e-09
24.15; 3.14; 1.06972e-08
24.15; 3.14; 1.04938e-08
24.2; 3.14; 1.26973e-08
24.2; 3.14; 1.26919e-08
24.25; 3.14; 1.4692e-08
24.25; 3.14; 1.45049e-08
24.3; 3.14; 1.63341e-08
24.3; 3.14; 1.63287e-08
24.35; 3.14; 1.79707e-08
24.35; 3.14; 1.77996e-08
24.4; 3.14; 1.92865e-08
24.4; 3.14; 1.92811e-08
24.45; 3.14; 2.05968e-08
24.45; 3.14; 2.04415e-08
24.5; 3.14; 2.16174e-08
24.5; 3.14; 2.16121e-08
24.55; 3.14; 2.26325e-08
24.55; 3.14; 2.24924e-08
24.6; 3.14; 2.33876e-08
24.6; 3.14; 2.33826e-08
24.65; 3.14; 2.41375e-08
24.65; 3.14; 2.4012e-08
24.7; 3.14; 2.46558e-08
24.7; 3.14; 2.46509e-08
24.75; 3.14; 2.5169e-08
24.75; 3.14; 2.50576e-08
24.8; 3.14; 2.54778e-08
24.8; 3.14; 2.54732e-08
24.85; 3.14; 2.57817e-08
24.85; 3.14; 2.56835e-08
24.9; 3.14; 2.59067e-08
24.9; 3.14; 2.59023e-08
24.95; 3.14; 2.6027e-08
24.95; 3.14; 2.59413e-08
25; 3.14; 2.59924e-08
25; 3.14; 2.59883e-08
25.05; 3.14; 2.59534e-08
25.05; 3.14; 2.58793e-08
25.1; 3.14; 2.57817e-08
25.1; 3.14; 2.57778e-08
25.15; 3.14; 2.56059e-08
25.15; 3.14; 2.55427e-08
25.2; 3.14; 2.53181e-08
25.2; 3.14; 2.53145e-08
25.25; 3.14; 2.50264e-08
25.25; 3.14; 2.49733e-08
25.3; 3.14; 2.46418e-08
25.3; 3.14; 2.46385e-08
25.35; 3.14; 2.42536e-08
25.35; 3.14; 2.42097e-08
25.4; 3.14; 2.37898e-08
25.4; 3.14; 2.37868e-08
25.45; 3.14; 2.33227e-08
25.45; 3.14; 2.32873e-08
25.5; 3.14; 2.27959e-08
25.5; 3.14; 2.27931e-08
25.55; 3.14; 2.2266e-08
25.55; 3.14; 2.22382e-08
25.6; 3.14; 2.16906e-08
25.6; 3.14; 2.16881e-08
25.65; 3.14; 2.11125e-08
25.65; 3.14; 2.10916e-08
25.7; 3.14; 2.05016e-08
25.7; 3.14; 2.04993e-08
25.75; 3.14; 1.98882e-08
25.75; 3.14; 1.98735e-08
25.8; 3.14; 1.92534e-08
25.8; 3.14; 1.92514e-08
25.85; 3.14; 1.86164e-08
25.85; 3.14; 1.86072e-08
25.9; 3.14; 1.79681e-08
25.9; 3.14; 1.79662e-08
25.95; 3.14; 1.73177e-08
25.95; 3.14; 1.73132e-08
26; 3.14; 1.66647e-08
26; 3.14; 1.66631e-08
26.05; 3.14; 1.60099e-08
26.05; 3.14; 1.60097e-08
26.1; 3.14; 1.53601e-08
26.1; 3.14; 1.53587e-08
26.15; 3.14; 1.47087e-08
26.15; 3.14; 1.47121e-08
26.2; 3.14; 1.40688e-08
26.2; 3.14; 1.40676e-08
26.25; 3.14; 1.34274e-08
26.25; 3.14; 1.34339e-08
26.3; 3.14; 1.2803e-08
26.3; 3.14; 1.28019e-08
26.35; 3.14; 1.21773e-08
26.35; 3.14; 1.21863e-08
26.4; 3.14; 1.1573e-08
26.4; 3.14; 1.15721e-08
26.45; 3.14; 1.09676e-08
26.45; 3.14; 1.09788e-08
26.5; 3.14; 1.03873e-08
26.5; 3.14; 1.03866e-08
26.55; 3.14; 9.80611e-09
26.55; 3.14; 9.81892e-09
26.6; 3.14; 9.25276e-09
26.6; 3.14; 9.25219e-09
26.65; 3.14; 8.69871e-09
26.65; 3.14; 8.71285e-09
26.7; 3.14; 8.17465e-09
26.7; 3.14; 8.17421e-09
26.75; 3.14; 7.65004e-09
26.75; 3.14; 7.66516e-09
26.8; 3.14; 7.15694e-09
26.8; 3.14; 7.15662e-09
26.85; 3.14; 6.66342e-09
26.85; 3.14; 6.67922e-09
26.9; 3.14; 6.20237e-09
26.9; 3.14; 6.20215e-09
26.95; 3.14; 5.74102e-09
26.95; 3.14; 5.75724e-09
27; 3.14; 5.31262e-09
27; 3.14; 5.31248e-09
27.05; 3.14; 4.884e-09
27.05; 3.14; 4.9004e-09
27.1; 3.14; 4.4884e-09
27.1; 3.14; 4.48834e-09
27.15; 3.14; 4.09266e-09
27.15; 3.14; 4.10904e-09
27.2; 3.14; 3.72963e-09
27.2; 3.14; 3.72963e-09
27.25; 3.14; 3.36654e-09
27.25; 3.14; 3.38271e-09
27.3; 3.14; 3.03551e-09
27.3; 3.14; 3.03558e-09
27.35; 3.14; 2.70451e-09
27.35; 3.14; 2.72033e-09
27.4; 3.14; 2.40466e-09
27.4; 3.14; 2.40478e-09
27.45; 3.14; 2.1049e-09
27.45; 3.14; 2.12025e-09
27.5; 3.14; 1.83519e-09
27.5; 3.14; 1.83535e-09
27.55; 3.14; 1.56561e-09
27.55; 3.14; 1.58038e-09
27.6; 3.14; 1.3248e-09
27.6; 3.14; 1.32499e-09
27.65; 3.14; 1.08415e-09
27.65; 3.14; 1.09827e-09
27.7; 3.14; 8.70853e-10
27.7; 3.14; 8.71074e-10
27.75; 3.14; 6.57756e-10
27.75; 3.14; 6.71151e-10
27.8; 3.14; 4.70482e-10
27.8; 3.14; 4.70723e-10
27.85; 3.14; 2.83435e-10
27.85; 3.14; 2.96063e-10
27.9; 3.14; 1.20618e-10
27.9; 3.14; 1.20874e-10
27.95; 3.14; -4.19526e-11
27.95; 3.14; -3.01235e-11
28; 3.14; -1.81931e-10
28; 3.14; -1.81664e-10
28.05; 3.14; -3.21648e-10
28.05; 3.14; -3.10636e-10
28.1; 3.14; -4.40431e-10
28.1; 3.14; -4.40158e-10
28.15; 3.14; -5.58942e-10
28.15; 3.14; -5.48754e-10
28.2; 3.14; -6.58175e-10
28.2; 3.14; -6.57899e-10
28.25; 3.14; -7.57131e-10
28.25; 3.14; -7.47764e-10
28.3; 3.14; -8.38445e-10
28.3; 3.14; -8.38171e-10
28.35; 3.14; -9.19482e-10
28.35; 3.14; -9.10925e-10
28.4; 3.14; -9.84479e-10
28.4; 3.14; -9.84209e-10
28.45; 3.14; -1.0492e-09
28.45; 3.14; -1.04143e-09
28.5; 3.14; -1.09944e-09
28.5; 3.14; -1.09917e-09
28.55; 3.14; -1.1494e-09
28.55; 3.14; -1.1424e-09
28.6; 3.14; -1.18638e-09
28.6; 3.14; -1.18612e-09
28.65; 3.14; -1.22309e-09
28.65; 3.14; -1.21683e-09
28.7; 3.14; -1.24825e-09
28.7; 3.14; -1.24801e-09
28.75; 3.14; -1.27315e-09
28.75; 3.14; -1.26759e-09
28.8; 3.14; -1.28786e-09
28.8; 3.14; -1.28763e-09
28.85; 3.14; -1.30232e-09
28.85; 3.14; -1.29742e-09
28.9; 3.14; -1.30787e-09
28.9; 3.14; -1.30764e-09
28.95; 3.14; -1.31318e-09
28.95; 3.14; -1.30891e-09
29; 3.14; -1.31078e-09
29; 3.14; -1.31057e-09
29.05; 3.14; -1.30815e-09
29.05; 3.14; -1.30447e-09
29.1; 3.14; -1.29893e-09
29.1; 3.14; -1.29874e-09
29.15; 3.14; -1.28951e-09
29.15; 3.14; -1.28637e-09
29.2; 3.14; -1.27452e-09
29.2; 3.14; -1.27434e-09
29.25; 3.14; -1.25934e-09
29.25; 3.14; -1.2567e-09
29.3; 3.14; -1.23955e-09
29.3; 3.14; -1.23938e-09
29.35; 3.14; -1.21958e-09
29.35; 3.14; -1.21741e-09
29.4; 3.14; -1.19588e-09
29.4; 3.14; -1.19572e-09
29.45; 3.14; -1.172e-09
29.45; 3.14; -1.17025e-09
29.5; 3.14; -1.14518e-09
29.5; 3.14; -1.14504e-09
29.55; 3.14; -1.11821e-09
29.55; 3.14; -1.11684e-09
29.6; 3.14; -1.089e-09
29.6; 3.14; -1.08887e-09
29.65; 3.14; -1.05965e-09
29.65; 3.14; -1.05863e-09
29.7; 3.14; -1.02871e-09
29.7; 3.14; -1.0286e-09
29.75; 3.14; -9.97641e-10
29.75; 3.14; -9.96924e-10
29.8; 3.14; -9.65542e-10
29.8; 3.14; -9.6544e-10
29.85; 3.14; -9.33329e-10
29.85; 3.14; -9.32885e-10
29.9; 3.14; -9.00586e-10
29.9; 3.14; -9.00495e-10
29.95; 3.14; -8.67741e-10
29.95; 3.14; -8.67537e-10
30; 3.14; -8.34803e-10
30; 3.14; -8.34723e-10
30.05; 3.14; -8.01774e-10
30.05; 3.14; -8.01778e-10
30.1; 3.14; -7.69026e-10
30.1; 3.14; -7.68957e-10
30.15; 3.14; -7.362e-10
30.15; 3.14; -7.36384e-10
30.2; 3.14; -7.03977e-10
30.2; 3.14; -7.03917e-10
30.25; 3.14; -6.71685e-10
30.25; 3.14; -6.72021e-10
30.3; 3.14; -6.40265e-10
30.3; 3.14; -6.40214e-10
30.35; 3.14; -6.08786e-10
30.35; 3.14; -6.0925e-10
30.4; 3.14; -5.78401e-10
30.4; 3.14; -5.78359e-10
30.45; 3.14; -5.47967e-10
30.45; 3.14; -5.48536e-10
30.5; 3.14; -5.18807e-10
30.5; 3.14; -5.18772e-10
30.55; 3.14; -4.89605e-10
30.55; 3.14; -4.90258e-10
30.6; 3.14; -4.61819e-10
30.6; 3.14; -4.61791e-10
30.65; 3.14; -4.33998e-10
30.65; 3.14; -4.34716e-10
30.7; 3.14; -4.07697e-10
30.7; 3.14; -4.07676e-10
30.75; 3.14; -3.8137e-10
30.75; 3.14; -3.82136e-10
30.8; 3.14; -3.56637e-10
30.8; 3.14; -3.56621e-10
30.85; 3.14; -3.31884e-10
30.85; 3.14; -3.32684e-10
30.9; 3.14; -3.08772e-10
30.9; 3.14; -3.08761e-10
30.95; 3.14; -2.85644e-10
30.95; 3.14; -2.86464e-10
31; 3.14; -2.64181e-10
31; 3.14; -2.64174e-10
31.05; 3.14; -2.42706e-10
31.05; 3.14; -2.43534e-10
31.1; 3.14; -2.22897e-10
31.1; 3.14; -2.22894e-10
31.15; 3.14; -2.03081e-10
31.15; 3.14; -2.03906e-10
31.2; 3.14; -1.84912e-10
31.2; 3.14; -1.84913e-10
31.25; 3.14; -1.66741e-10
31.25; 3.14; -1.67555e-10
31.3; 3.14; -1.50183e-10
31.3; 3.14; -1.50187e-10
31.35; 3.14; -1.33627e-10
31.35; 3.14; -1.34424e-10
31.4; 3.14; -1.18639e-10
31.4; 3.14; -1.18645e-10
31.45; 3.14; -1.03655e-10
31.45; 3.14; -1.04427e-10
31.5; 3.14; -9.01811e-11
31.5; 3.14; -9.01893e-11
31.55; 3.14; -7.67141e-11
31.55; 3.14; -7.74566e-11
31.6; 3.14; -6.46922e-11
31.6; 3.14; -6.47021e-11
31.65; 3.14; -5.26789e-11
31.65; 3.14; -5.33878e-11
31.7; 3.14; -4.20384e-11
31.7; 3.14; -4.20496e-11
31.75; 3.14; -3.14083e-11
31.75; 3.14; -3.20806e-11
31.8; 3.14; -2.20737e-11
31.8; 3.14; -2.2086e-11
31.85; 3.14; -1.27508e-11
31.85; 3.14; -1.33842e-11
31.9; 3.14; -4.64276e-12
31.9; 3.14; -4.65576e-12
31.95; 3.14; 3.45268e-12
31.95; 3.14; 2.85959e-12
32; 3.14; 1.04159e-11
32; 3.14; 1.04024e-11
32.05; 3.14; 1.73658e-11
32.05; 3.14; 1.6814e-11
32.1; 3.14; 2.32672e-11
32.1; 3.14; 2.32534e-11
32.15; 3.14; 2.91548e-11
32.15; 3.14; 2.86446e-11
32.2; 3.14; 3.40773e-11
32.2; 3.14; 3.40634e-11
32.25; 3.14; 3.89859e-11
32.25; 3.14; 3.8517e-11
32.3; 3.14; 4.30118e-11
32.3; 3.14; 4.29979e-11
32.35; 3.14; 4.70236e-11
32.35; 3.14; 4.65955e-11
32.4; 3.14; 5.02334e-11
32.4; 3.14; 5.02198e-11
32.45; 3.14; 5.34292e-11
32.45; 3.14; 5.3041e-11
32.5; 3.14; 5.59013e-11
32.5; 3.14; 5.5888e-11
32.55; 3.14; 5.83596e-11
32.55; 3.14; 5.80098e-11
32.6; 3.14; 6.01694e-11
32.6; 3.14; 6.01566e-11
32.65; 3.14; 6.19659e-11
32.65; 3.14; 6.16531e-11
32.7; 3.14; 6.31857e-11
32.7; 3.14; 6.31734e-11
32.75; 3.14; 6.43926e-11
32.75; 3.14; 6.4115e-11
32.8; 3.14; 6.50911e-11
32.8; 3.14; 6.50793e-11
32.85; 3.14; 6.57771e-11
32.85; 3.14; 6.5533e-11
32.9; 3.14; 6.60191e-11
32.9; 3.14; 6.60079e-11
32.95; 3.14; 6.62492e-11
32.95; 3.14; 6.60365e-11
33; 3.14; 6.60955e-11
33; 3.14; 6.6085e-11
33.05; 3.14; 6.59306e-11
33.05; 3.14; 6.57472e-11
33.1; 3.14; 6.54379e-11
33.1; 3.14; 6.54281e-11
33.15; 3.14; 6.49346e-11
33.15; 3.14; 6.47786e-11
33.2; 3.14; 6.41554e-11
33.2; 3.14; 6.41463e-11
33.25; 3.14; 6.33663e-11
33.25; 3.14; 6.32355e-11
33.3; 3.14; 6.2349e-11
33.3; 3.14; 6.23406e-11
33.35; 3.14; 6.13225e-11
33.35; 3.14; 6.12149e-11
33.4; 3.14; 6.01113e-11
33.4; 3.14; 6.01035e-11
33.45; 3.14; 5.88916e-11
33.45; 3.14; 5.88051e-11
33.5; 3.14; 5.75266e-11
33.5; 3.14; 5.75196e-11
33.55; 3.14; 5.6154e-11
33.55; 3.14; 5.60866e-11
33.6; 3.14; 5.46717e-11
33.6; 3.14; 5.46653e-11
33.65; 3.14; 5.31824e-11
33.65; 3.14; 5.31322e-11
33.7; 3.14; 5.16152e-11
33.7; 3.14; 5.16095e-11
33.75; 3.14; 5.00418e-11
33.75; 3.14; 5.00069e-11
33.8; 3.14; 4.84187e-11
33.8; 3.14; 4.84136e-11
33.85; 3.14; 4.679e-11
33.85; 3.14; 4.67687e-11
33.9; 3.14; 4.51366e-11
33.9; 3.14; 4.5132e-11
33.95; 3.14; 4.34781e-11
33.95; 3.14; 4.34688e-11
34; 3.14; 4.18167e-11
34; 3.14; 4.18127e-11
34.05; 3.14; 4.01507e-11
34.05; 3.14; 4.01518e-11
34.1; 3.14; 3.85006e-11
34.1; 3.14; 3.84971e-11
34.15; 3.14; 3.68465e-11
34.15; 3.14; 3.68565e-11
34.2; 3.14; 3.5224e-11
34.2; 3.14; 3.52211e-11
34.25; 3.14; 3.35982e-11
34.25; 3.14; 3.36158e-11
34.3; 3.14; 3.20175e-11
34.3; 3.14; 3.20149e-11
34.35; 3.14; 3.04337e-11
34.35; 3.14; 3.04577e-11
34.4; 3.14; 2.89061e-11
34.4; 3.14; 2.8904e-11
34.45; 3.14; 2.73761e-11
34.45; 3.14; 2.74052e-11
34.5; 3.14; 2.5911e-11
34.5; 3.14; 2.59092e-11
34.55; 3.14; 2.44438e-11
34.55; 3.14; 2.44771e-11
34.6; 3.14; 2.30486e-11
34.6; 3.14; 2.30472e-11
34.65; 3.14; 2.16516e-11
34.65; 3.14; 2.16881e-11
34.7; 3.14; 2.03318e-11
34.7; 3.14; 2.03307e-11
34.75; 3.14; 1.90106e-11
34.75; 3.14; 1.90495e-11
34.8; 3.14; 1.77702e-11
34.8; 3.14; 1.77694e-11
34.85; 3.14; 1.65287e-11
34.85; 3.14; 1.65691e-11
34.9; 3.14; 1.53701e-11
34.9; 3.14; 1.53696e-11
34.95; 3.14; 1.42108e-11
34.95; 3.14; 1.42522e-11
35; 3.14; 1.31355e-11
35; 3.14; 1.31352e-11
35.05; 3.14; 1.20597e-11
35.05; 3.14; 1.21014e-11
35.1; 3.14; 1.10677e-11
35.1; 3.14; 1.10676e-11
35.15; 3.14; 1.00755e-11
35.15; 3.14; 1.01171e-11
35.2; 3.14; 9.16629e-12
35.2; 3.14; 9.16633e-12
35.25; 3.14; 8.25693e-12
35.25; 3.14; 8.29796e-12
35.3; 3.14; 7.4288e-12
35.3; 3.14; 7.429e-12
35.35; 3.14; 6.60078e-12
35.35; 3.14; 6.64086e-12
35.4; 3.14; 5.85159e-12
35.4; 3.14; 5.85192e-12
35.45; 3.14; 5.10264e-12
35.45; 3.14; 5.14145e-12
35.5; 3.14; 4.42957e-12
35.5; 3.14; 4.43001e-12
35.55; 3.14; 3.75689e-12
35.55; 3.14; 3.79419e-12
35.6; 3.14; 3.15677e-12
35.6; 3.14; 3.15728e-12
35.65; 3.14; 2.55709e-12
35.65; 3.14; 2.5927e-12
35.7; 3.14; 2.02631e-12
35.7; 3.14; 2.02689e-12
35.75; 3.14; 1.49608e-12
35.75; 3.14; 1.52983e-12
35.8; 3.14; 1.03086e-12
35.8; 3.14; 1.03148e-12
35.85; 3.14; 5.66201e-13
35.85; 3.14; 5.97983e-13
35.9; 3.14; 1.62455e-13
35.9; 3.14; 1.63123e-13
35.95; 3.14; -2.40626e-13
35.95; 3.14; -2.10882e-13
36; 3.14; -5.86981e-13
36; 3.14; -5.86291e-13
36.05; 3.14; -9.32646e-13
36.05; 3.14; -9.04997e-13
36.1; 3.14; -1.2258e-12
36.1; 3.14; -1.2251e-12
36.15; 3.14; -1.51825e-12
36.15; 3.14; -1.4927e-12
36.2; 3.14; -1.76239e-12
36.2; 3.14; -1.76169e-12
36.25; 3.14; -2.00583e-12
36.25; 3.14; -1.98238e-12
36.3; 3.14; -2.2051e-12
36.3; 3.14; -2.20442e-12
36.35; 3.14; -2.4037e-12
36.35; 3.14; -2.38229e-12
36.4; 3.14; -2.56215e-12
36.4; 3.14; -2.56149e-12
36.45; 3.14; -2.71995e-12
36.45; 3.14; -2.70054e-12
36.5; 3.14; -2.84156e-12
36.5; 3.14; -2.84089e-12
36.55; 3.14; -2.96246e-12
36.55; 3.14; -2.94498e-12
36.6; 3.14; -3.05096e-12
36.6; 3.14; -3.05033e-12
36.65; 3.14; -3.13881e-12
36.65; 3.14; -3.1232e-12
36.7; 3.14; -3.19788e-12
36.7; 3.14; -3.19726e-12
36.75; 3.14; -3.25628e-12
36.75; 3.14; -3.24243e-12
36.8; 3.14; -3.28931e-12
36.8; 3.14; -3.28873e-12
36.85; 3.14; -3.32175e-12
36.85; 3.14; -3.30959e-12
36.9; 3.14; -3.33206e-12
36.9; 3.14; -3.33151e-12
36.95; 3.14; -3.34179e-12
36.95; 3.14; -3.3312e-12
37; 3.14; -3.33242e-12
37; 3.14; -3.33189e-12
37.05; 3.14; -3.32247e-12
37.05; 3.14; -3.31335e-12
37.1; 3.14; -3.29623e-12
37.1; 3.14; -3.29574e-12
37.15; 3.14; -3.26946e-12
37.15; 3.14; -3.26171e-12
37.2; 3.14; -3.229e-12
37.2; 3.14; -3.22854e-12
37.25; 3.14; -3.18804e-12
37.25; 3.14; -3.18154e-12
37.3; 3.14; -3.13577e-12
37.3; 3.14; -3.13534e-12
37.35; 3.14; -3.08303e-12
37.35; 3.14; -3.0777e-12
37.4; 3.14; -3.02117e-12
37.4; 3.14; -3.02078e-12
37.45; 3.14; -2.9589e-12
37.45; 3.14; -2.95462e-12
37.5; 3.14; -2.88947e-12
37.5; 3.14; -2.88911e-12
37.55; 3.14; -2.81963e-12
37.55; 3.14; -2.81632e-12
37.6; 3.14; -2.74444e-12
37.6; 3.14; -2.74412e-12
37.65; 3.14; -2.66888e-12
37.65; 3.14; -2.66642e-12
37.7; 3.14; -2.58956e-12
37.7; 3.14; -2.58926e-12
37.75; 3.14; -2.50987e-12
37.75; 3.14; -2.50817e-12
37.8; 3.14; -2.4278e-12
37.8; 3.14; -2.42755e-12
37.85; 3.14; -2.34546e-12
37.85; 3.14; -2.34445e-12
37.9; 3.14; -2.26198e-12
37.9; 3.14; -2.26176e-12
37.95; 3.14; -2.17825e-12
37.95; 3.14; -2.17782e-12
38; 3.14; -2.09447e-12
38; 3.14; -2.09426e-12
38.05; 3.14; -2.01046e-12
38.05; 3.14; -2.01055e-12
38.1; 3.14; -1.92734e-12
38.1; 3.14; -1.92715e-12
38.15; 3.14; -1.84398e-12
38.15; 3.14; -1.84452e-12
38.2; 3.14; -1.76229e-12
38.2; 3.14; -1.76216e-12
38.25; 3.14; -1.68047e-12
38.25; 3.14; -1.68139e-12
38.3; 3.14; -1.60096e-12
38.3; 3.14; -1.60084e-12
38.35; 3.14; -1.52129e-12
38.35; 3.14; -1.52253e-12
38.4; 3.14; -1.44451e-12
38.4; 3.14; -1.4444e-12
38.45; 3.14; -1.36758e-12
38.45; 3.14; -1.36906e-12
38.5; 3.14; -1.29397e-12
38.5; 3.14; -1.29388e-12
38.55; 3.14; -1.22025e-12
38.55; 3.14; -1.22194e-12
38.6; 3.14; -1.15022e-12
38.6; 3.14; -1.15013e-12
38.65; 3.14; -1.08007e-12
38.65; 3.14; -1.08193e-12
38.7; 3.14; -1.01381e-12
38.7; 3.14; -1.01378e-12
38.75; 3.14; -9.47552e-13
38.75; 3.14; -9.49522e-13
38.8; 3.14; -8.85334e-13
38.8; 3.14; -8.85309e-13
38.85; 3.14; -8.23088e-13
38.85; 3.14; -8.25125e-13
38.9; 3.14; -7.65003e-13
38.9; 3.14; -7.64981e-13
38.95; 3.14; -7.06893e-13
38.95; 3.14; -7.08988e-13
39; 3.14; -6.52996e-13
39; 3.14; -6.52995e-13
39.05; 3.14; -5.99124e-13
39.05; 3.14; -6.01217e-13
39.1; 3.14; -5.49492e-13
39.1; 3.14; -5.49464e-13
39.15; 3.14; -4.99804e-13
39.15; 3.14; -5.01897e-13
39.2; 3.14; -4.54331e-13
39.2; 3.14; -4.54321e-13
39.25; 3.14; -4.08822e-13
39.25; 3.14; -4.10891e-13
39.3; 3.14; -3.67413e-13
39.3; 3.14; -3.67422e-13
39.35; 3.14; -3.26016e-13
39.35; 3.14; -3.28041e-13
39.4; 3.14; -2.88566e-13
39.4; 3.14; -2.886e-13
39.45; 3.14; -2.51154e-13
39.45; 3.14; -2.53119e-13
39.5; 3.14; -2.17553e-13
39.5; 3.14; -2.17575e-13
39.55; 3.14; -1.83952e-13
