punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls dla ekspansji;alpha;wynik opt X z fiba;wynik opt Y z fiba;f_calls dla fiba
41.2104;-4.04888;3.80603;46;1.1;-9.56559e-07;1.13193e-17;58
56.0114;62.1274;63.4117;25;1.1;62.7482;-0.921148;52
35.1785;-2.22582;4.26584;44;1.1;-1.38364e-06;3.13084e-17;58
82.6171;61.5033;65.1677;38;1.1;62.7482;-0.921148;56
28.0286;-2.88411;2.4809;42;1.1;-7.59057e-07;4.54252e-18;58
-31.6437;-3.54127;2.36024;41;1.1;8.29468e-07;6.7795e-18;58
-88.2629;-8.08337;8.75433;52;1.1;2.2928e-06;9.81581e-17;62
90.2036;59.2909;64.6559;42;1.1;62.7482;-0.921148;58
-8.27942;-0.879168;0.674885;27;1.1;4.40696e-07;-3.09658e-18;52
-92.7032;-4.50576;14.0157;53;1.1;-1.54031e-06;4.04702e-17;62
-53.2197;-3.43453;7.02036;47;1.1;1.37158e-06;3.06437e-17;60
-38.2171;-4.21317;2.92766;43;1.1;1.52206e-06;3.93526e-17;58
-81.0231;-8.1326;7.1744;51;1.1;-5.92544e-07;4.1327e-20;62
72.4795;61.6448;63.5252;31;1.1;62.7482;-0.921148;52
-94.1962;-5.99873;12.5227;53;1.1;1.45309e-07;-6.55854e-18;62
1.14894;-0.0610571;0.148943;8;1.1;-1.86492e-06;6.25777e-17;44
79.4471;60.2528;63.584;37;1.1;62.7482;-0.921148;56
-68.285;-8.04498;4.60544;49;1.1;-1.70795e-06;5.13613e-17;60
14.4277;-1.43541;1.31769;35;1.1;-2.12638e-07;-6.07653e-18;54
13.1716;-1.2494;1.25342;34;1.1;1.29406e-06;2.65112e-17;54
98.7527;30.0333;71.9092;15;1.6;62.7482;-0.921148;66
-84.8971;-41.9474;25.0541;14;1.6;-8.25829e-07;6.65906e-18;68
-46.0116;-19.168;22.7079;13;1.6;2.12566e-06;8.33877e-17;66
-84.1456;-41.196;25.8055;14;1.6;-9.71792e-07;1.19068e-17;68
-74.3148;-31.3651;35.6364;14;1.6;-5.806e-07;-2.389e-19;68
