punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls;alpha;wynik opt X z fiba;wynik opt Y z fiba
47.0938;57.5796;73.9373;11;1.6;73.9373;40
-28.2955;-11.5183;14.6542;12;1.6;14.6542;40
40.1065;-28.613;13.2629;15;1.6;-0.261196;40
-43.9978;-17.1542;24.7217;13;1.6;0.00208886;6.7066e-06
23.8492;-19.1005;7.072;14;1.6;7.072;40
-83.6255;-40.6759;26.3256;14;1.6;0.902056;40
9.76166;-7.01556;3.20806;12;1.6;3.20806;40
-71.2525;-28.3028;38.6987;14;1.6;38.6987;40
40.9797;-27.7397;14.1362;15;1.6;0.00208887;2.20783e-05
74.5354;57.7582;67.9818;12;1.6;67.9818;40
-19.5412;-9.05544;7.30235;11;1.6;7.30235;40
-10.8564;-4.30278;5.92084;10;1.6;5.92084;40
53.3048;59.8584;70.0821;10;1.6;70.0821;40
53.7149;60.2685;70.4922;10;1.6;70.4922;40
-45.9193;-19.0757;22.8002;13;1.6;22.8002;40
11.5232;-5.25398;4.96964;12;1.6;4.96964;40
37.6612;-31.0583;10.8177;15;1.6;10.8177;40
-20.8216;-10.3358;6.02199;11;1.6;55.5724;40
16.3061;-10.5375;5.82034;13;1.6;55.3707;40
-69.0117;-26.0621;40.9394;14;1.6;40.9394;40
-47.0493;-20.2058;21.6701;13;1.6;21.6701;40
-14.7522;-4.26643;12.0914;11;1.6;12.0914;40
8.2708;-2.21496;4.1748;11;1.6;0.00208884;0.000190188
12.3156;-4.4616;5.76202;12;1.6;5.76202;40
93.2418;50.2921;76.4646;14;1.6;76.4646;40
-93.132;-24.4125;82.7898;15;1.6;82.7898;40
53.2137;59.7673;69.991;10;1.6;69.991;40
13.0313;-3.74588;6.47773;12;1.6;6.47773;40
35.0861;-33.6334;8.24256;15;1.6;8.24256;40
5.4478;-5.03796;1.3518;11;1.6;0.0020889;0.000276222
-52.4869;-25.6434;16.2326;13;1.6;45.8931;40
-20.5065;-10.0208;6.33703;11;1.6;0.00208887;2.47906e-05
41.0147;-27.7048;14.1712;15;1.6;0.00208886;1.32751e-05
-30.4595;-13.6823;12.4902;12;1.6;12.4902;40
-44.8011;-17.9576;23.9183;13;1.6;-0.261196;40
66.1197;59.5661;63.5597;10;1.6;63.5597;40
73.252;56.4748;66.6984;12;1.6;66.6984;40
57.9701;60.5301;64.5237;8;1.6;64.5237;40
-67.8062;-24.8565;42.145;14;1.6;42.145;40
33.9029;-9.04681;17.1256;14;1.6;17.1256;40
-87.8292;-44.8795;22.122;14;1.6;22.122;40
-56.5814;12.1381;119.34;15;1.6;119.34;40
8.50422;-1.98154;4.40822;11;1.6;4.40822;40
47.4004;57.8862;74.244;11;1.6;74.244;40
58.9507;61.5107;65.5043;8;1.6;65.5043;40
56.6555;60.7515;67.1413;9;1.6;67.1413;40
88.0993;45.1496;71.3221;14;1.6;71.3221;40
-59.6714;9.04807;116.25;15;1.6;116.25;40
-41.4587;-14.6151;27.2608;13;1.6;27.2608;40
88.1146;45.1649;71.3373;14;1.6;71.3373;40
-83.1414;-40.1917;26.8097;14;1.6;26.8097;40
53.3892;59.9428;70.1664;10;1.6;70.1664;40
-15.2807;-4.79498;11.5628;11;1.6;11.5628;40
12.8983;-3.87893;6.34469;12;1.6;6.34469;40
-78.3623;-35.4126;31.5889;14;1.6;31.5889;40
22.2736;-20.6761;5.49636;14;1.6;5.49636;40
-21.6833;-11.1976;5.16023;11;1.6;0.00208886;3.15939e-05
-5.70953;-1.61353;4.77623;9;1.6;4.77623;40
65.3458;61.2498;63.7458;9;1.6;63.7458;40
-90.7476;-22.0281;85.1743;15;1.6;85.1743;40
-87.8396;-44.8899;22.1115;14;1.6;22.1115;40
92.1663;49.2166;75.3891;14;1.6;75.3891;40
-57.7992;10.9203;118.123;15;1.6;118.123;40
-68.4544;-25.5047;41.4968;14;1.6;41.4968;40
22.2804;-20.6693;5.50315;14;1.6;5.50315;40
90.9284;47.9788;74.1512;14;1.6;74.1512;40
5.96562;-4.52014;1.86962;11;1.6;-0.261196;40
7.89671;-2.58905;3.80071;11;1.6;0.00208888;9.98437e-05
65.0301;60.9341;63.4301;9;1.6;63.4301;40
98.8971;30.1776;72.0535;15;1.6;72.0535;40
-84.6089;-41.6593;25.3422;14;1.6;25.3422;40
-27.6034;-10.8261;15.3463;12;1.6;15.3463;40
92.8632;49.9135;76.086;14;1.6;76.086;40
79.5963;52.7528;69.1105;13;1.6;69.1105;40
92.755;49.8053;75.9778;14;1.6;75.9778;40
56.9642;61.0602;67.4499;9;1.6;67.4499;40
5.49199;-4.99377;1.39599;11;1.6;0.00208888;9.70941e-05
72.8821;56.1049;66.3285;12;1.6;66.3285;40
40.871;-27.8485;14.0275;15;1.6;24.6662;40
41.988;-26.7315;15.1444;15;1.6;15.1444;40
16.2289;-10.6146;5.74314;13;1.6;55.2935;40
89.1867;46.237;72.4095;14;1.6;72.4095;40
-37.2726;-10.4291;31.4469;13;1.6;31.4469;40
96.364;53.4143;79.5868;14;1.6;79.5868;40
-25.3466;-8.56938;17.6031;12;1.6;17.6031;40
10.5961;-6.18107;4.04254;12;1.6;4.04254;40
-93.2411;-24.5216;82.6807;15;1.6;82.6807;40
21.57;-5.27352;11.0843;13;1.6;11.0843;40
32.7194;-10.2303;15.9422;14;1.6;15.9422;40
-73.9193;-30.9696;36.0319;14;1.6;36.0319;40
-35.3586;-8.51503;33.3609;13;1.6;33.3609;40
-94.7709;-26.0514;81.151;15;1.6;81.151;40
-24.5134;-7.73623;18.4362;12;1.6;18.4362;40
-16.0048;-5.51902;10.8388;11;1.6;10.8388;40
91.595;48.6454;74.8178;14;1.6;74.8178;40
16.2273;-10.6162;5.74159;13;1.6;55.292;40
55.1827;59.5927;74.6308;8;2.1;74.6308;40
-96.976;-56.135;83.1328;11;2.1;83.1328;40
52.9995;57.4095;72.4476;8;2.1;72.4476;40
-28.0149;-18.7539;12.8261;9;2.1;12.8261;40
30.5157;-55.2504;11.0676;12;2.1;11.0676;40
-60.7851;-41.337;24.981;10;2.1;0.00208885;0.00010048
-62.6549;-43.2068;23.1112;10;2.1;23.1112;40
13.5134;-5.93471;9.10339;10;2.1;9.10339;40
-8.56861;-4.15861;10.8795;8;2.1;10.8795;40
41.9901;-43.776;22.542;12;2.1;22.542;40
-94.8019;-53.9609;85.307;11;2.1;85.307;40
11.6004;-7.84767;7.19043;10;2.1;0.00208886;2.6535e-05
73.4471;53.999;69.0371;10;2.1;69.0371;40
-33.0574;7.78357;147.051;11;2.1;147.051;40
-98.6682;-57.8272;81.4406;11;2.1;81.4406;40
45.9332;55.1942;86.7742;9;2.1;86.7742;40
33.3386;-52.4275;13.8905;12;2.1;13.8905;40
72.8536;53.4055;68.4436;10;2.1;68.4436;40
-90.7804;-49.9394;89.3285;11;2.1;89.3285;40
-70.3116;-29.4706;109.797;11;2.1;109.797;40
-68.5905;-27.7495;111.518;11;2.1;111.518;40
-70.7259;-29.8849;109.383;11;2.1;109.383;40
-60.929;-41.4809;24.8371;10;2.1;24.8371;40
3.58049;-5.68051;1.48049;9;2.1;0.0020889;0.000231878
-11.6528;-7.24278;7.79532;8;2.1;0.00208887;2.53634e-05
59.8935;60.8935;64.3035;6;2.1;64.3035;40
64.5321;60.1221;63.5321;8;2.1;63.5321;40
-38.1488;-18.7007;47.6173;10;2.1;47.6173;40
84.9803;44.1393;75.7193;11;2.1;75.7193;40
-97.3626;-56.5216;82.7462;11;2.1;82.7462;40
68.4225;59.1615;66.3225;9;2.1;0.0020889;0.000275543
-42.6778;-23.2297;43.0883;10;2.1;43.0883;40
-99.3854;-58.5444;80.7235;11;2.1;80.7235;40
6.01045;-3.25055;3.91045;9;2.1;0.00208888;0.000127005
44.7771;-40.989;25.329;12;2.1;-421.705;40
57.4254;59.5254;66.6864;7;2.1;0.00208883;0.000219265
-43.805;-24.3569;41.9611;10;2.1;41.9611;40
16.6692;-24.1718;7.4082;11;2.1;7.4082;40
92.0344;51.1934;82.7734;11;2.1;82.7735;40
99.5247;13.7586;80.0766;12;2.1;80.0766;40
-68.7526;-27.9116;111.356;11;2.1;111.356;40
-36.1833;-16.7352;49.5828;10;2.1;49.5828;40
-75.1294;-34.2883;104.979;11;2.1;104.979;40
84.7825;43.9415;75.5215;11;2.1;75.5215;40
-7.38205;-2.97205;12.0661;8;2.1;0.00208887;2.88412e-05
